Category: All categories

Week,ache + pain: (Singapore)
2014-01-05,83
2014-01-12,77
2014-01-19,75
2014-01-26,73
2014-02-02,80
2014-02-09,80
2014-02-16,82
2014-02-23,72
2014-03-02,75
2014-03-09,77
2014-03-16,77
2014-03-23,77
2014-03-30,76
2014-04-06,82
2014-04-13,80
2014-04-20,78
2014-04-27,77
2014-05-04,74
2014-05-11,78
2014-05-18,81
2014-05-25,82
2014-06-01,84
2014-06-08,75
2014-06-15,79
2014-06-22,78
2014-06-29,82
2014-07-06,81
2014-07-13,81
2014-07-20,81
2014-07-27,80
2014-08-03,80
2014-08-10,82
2014-08-17,80
2014-08-24,83
2014-08-31,76
2014-09-07,77
2014-09-14,79
2014-09-21,79
2014-09-28,78
2014-10-05,77
2014-10-12,79
2014-10-19,81
2014-10-26,83
2014-11-02,85
2014-11-09,74
2014-11-16,74
2014-11-23,76
2014-11-30,76
2014-12-07,75
2014-12-14,75
2014-12-21,81
2014-12-28,74
2015-01-04,79
2015-01-11,78
2015-01-18,75
2015-01-25,80
2015-02-01,80
2015-02-08,79
2015-02-15,86
2015-02-22,89
2015-03-01,91
2015-03-08,81
2015-03-15,76
2015-03-22,74
2015-03-29,81
2015-04-05,88
2015-04-12,81
2015-04-19,88
2015-04-26,78
2015-05-03,82
2015-05-10,80
2015-05-17,84
2015-05-24,88
2015-05-31,85
2015-06-07,79
2015-06-14,82
2015-06-21,90
2015-06-28,85
2015-07-05,76
2015-07-12,84
2015-07-19,80
2015-07-26,76
2015-08-02,77
2015-08-09,79
2015-08-16,79
2015-08-23,77
2015-08-30,92
2015-09-06,81
2015-09-13,81
2015-09-20,79
2015-09-27,80
2015-10-04,82
2015-10-11,83
2015-10-18,86
2015-10-25,81
2015-11-01,82
2015-11-08,85
2015-11-15,80
2015-11-22,79
2015-11-29,86
2015-12-06,82
2015-12-13,81
2015-12-20,88
2015-12-27,84
2016-01-03,83
2016-01-10,85
2016-01-17,84
2016-01-24,85
2016-01-31,87
2016-02-07,89
2016-02-14,86
2016-02-21,86
2016-02-28,85
2016-03-06,77
2016-03-13,78
2016-03-20,80
2016-03-27,84
2016-04-03,87
2016-04-10,83
2016-04-17,83
2016-04-24,80
2016-05-01,78
2016-05-08,86
2016-05-15,82
2016-05-22,82
2016-05-29,83
2016-06-05,90
2016-06-12,79
2016-06-19,81
2016-06-26,77
2016-07-03,88
2016-07-10,90
2016-07-17,81
2016-07-24,83
2016-07-31,81
2016-08-07,77
2016-08-14,84
2016-08-21,88
2016-08-28,89
2016-09-04,81
2016-09-11,84
2016-09-18,83
2016-09-25,81
2016-10-02,81
2016-10-09,83
2016-10-16,85
2016-10-23,83
2016-10-30,82
2016-11-06,84
2016-11-13,86
2016-11-20,78
2016-11-27,75
2016-12-04,77
2016-12-11,86
2016-12-18,79
2016-12-25,74
2017-01-01,83
2017-01-08,79
2017-01-15,83
2017-01-22,79
2017-01-29,87
2017-02-05,86
2017-02-12,77
2017-02-19,84
2017-02-26,83
2017-03-05,86
2017-03-12,82
2017-03-19,84
2017-03-26,85
2017-04-02,84
2017-04-09,83
2017-04-16,87
2017-04-23,86
2017-04-30,82
2017-05-07,87
2017-05-14,88
2017-05-21,85
2017-05-28,79
2017-06-04,86
2017-06-11,82
2017-06-18,85
2017-06-25,92
2017-07-02,86
2017-07-09,84
2017-07-16,80
2017-07-23,84
2017-07-30,88
2017-08-06,83
2017-08-13,81
2017-08-20,87
2017-08-27,83
2017-09-03,87
2017-09-10,91
2017-09-17,90
2017-09-24,91
2017-10-01,89
2017-10-08,86
2017-10-15,84
2017-10-22,87
2017-10-29,87
2017-11-05,81
2017-11-12,90
2017-11-19,90
2017-11-26,83
2017-12-03,89
2017-12-10,76
2017-12-17,80
2017-12-24,82
2017-12-31,90
2018-01-07,93
2018-01-14,88
2018-01-21,100
2018-01-28,93
2018-02-04,86
2018-02-11,94
2018-02-18,89
2018-02-25,92
2018-03-04,95
2018-03-11,90
2018-03-18,93
2018-03-25,92
2018-04-01,93
2018-04-08,88
2018-04-15,90
2018-04-22,97
2018-04-29,90
2018-05-06,95
2018-05-13,85
2018-05-20,88
2018-05-27,93
2018-06-03,83
2018-06-10,82
2018-06-17,85
2018-06-24,85
2018-07-01,91
2018-07-08,89
2018-07-15,87
2018-07-22,93
2018-07-29,89
2018-08-05,87
2018-08-12,88
2018-08-19,94
2018-08-26,86
2018-09-02,85
2018-09-09,88
2018-09-16,89
2018-09-23,89
2018-09-30,87
2018-10-07,87
2018-10-14,89
2018-10-21,94
2018-10-28,81
2018-11-04,87
2018-11-11,89
2018-11-18,82
2018-11-25,82
2018-12-02,77
2018-12-09,87
2018-12-16,84
2018-12-23,88
2018-12-30,89
