Category: All categories

Week,dengue fever symptoms: (Singapore)
2014-01-05,13
2014-01-12,39
2014-01-19,7
2014-01-26,15
2014-02-02,18
2014-02-09,32
2014-02-16,35
2014-02-23,38
2014-03-02,22
2014-03-09,31
2014-03-16,37
2014-03-23,38
2014-03-30,25
2014-04-06,25
2014-04-13,19
2014-04-20,16
2014-04-27,25
2014-05-04,12
2014-05-11,25
2014-05-18,26
2014-05-25,21
2014-06-01,35
2014-06-08,17
2014-06-15,31
2014-06-22,31
2014-06-29,37
2014-07-06,63
2014-07-13,100
2014-07-20,86
2014-07-27,63
2014-08-03,59
2014-08-10,65
2014-08-17,55
2014-08-24,46
2014-08-31,13
2014-09-07,13
2014-09-14,16
2014-09-21,19
2014-09-28,10
2014-10-05,13
2014-10-12,29
2014-10-19,10
2014-10-26,16
2014-11-02,6
2014-11-09,19
2014-11-16,13
2014-11-23,28
2014-11-30,6
2014-12-07,29
2014-12-14,37
2014-12-21,32
2014-12-28,30
2015-01-04,40
2015-01-11,34
2015-01-18,24
2015-01-25,22
2015-02-01,34
2015-02-08,29
2015-02-15,26
2015-02-22,19
2015-03-01,12
2015-03-08,6
2015-03-15,9
2015-03-22,0
2015-03-29,13
2015-04-05,6
2015-04-12,6
2015-04-19,12
2015-04-26,22
2015-05-03,33
2015-05-10,36
2015-05-17,24
2015-05-24,28
2015-05-31,25
2015-06-07,22
2015-06-14,35
2015-06-21,24
2015-06-28,23
2015-07-05,16
2015-07-12,20
2015-07-19,25
2015-07-26,5
2015-08-02,17
2015-08-09,19
2015-08-16,24
2015-08-23,18
2015-08-30,23
2015-09-06,20
2015-09-13,25
2015-09-20,15
2015-09-27,28
2015-10-04,26
2015-10-11,32
2015-10-18,19
2015-10-25,16
2015-11-01,19
2015-11-08,20
2015-11-15,22
2015-11-22,22
2015-11-29,28
2015-12-06,37
2015-12-13,15
2015-12-20,29
2015-12-27,22
2016-01-03,30
2016-01-10,23
2016-01-17,38
2016-01-24,35
2016-01-31,40
2016-02-07,79
2016-02-14,35
2016-02-21,43
2016-02-28,45
2016-03-06,14
2016-03-13,31
2016-03-20,14
2016-03-27,8
2016-04-03,16
2016-04-10,6
2016-04-17,11
2016-04-24,8
2016-05-01,14
2016-05-08,16
2016-05-15,14
2016-05-22,17
2016-05-29,14
2016-06-05,11
2016-06-12,14
2016-06-19,6
2016-06-26,51
2016-07-03,26
2016-07-10,23
2016-07-17,29
2016-07-24,9
2016-07-31,26
2016-08-07,27
2016-08-14,12
2016-08-21,14
2016-08-28,6
2016-09-04,9
2016-09-11,12
2016-09-18,9
2016-09-25,6
2016-10-02,11
2016-10-09,9
2016-10-16,17
2016-10-23,21
2016-10-30,23
2016-11-06,22
2016-11-13,6
2016-11-20,8
2016-11-27,0
2016-12-04,11
2016-12-11,6
2016-12-18,12
2016-12-25,30
2017-01-01,11
2017-01-08,8
2017-01-15,8
2017-01-22,9
2017-01-29,20
2017-02-05,15
2017-02-12,5
2017-02-19,15
2017-02-26,5
2017-03-05,5
2017-03-12,5
2017-03-19,5
2017-03-26,5
2017-04-02,13
2017-04-09,8
2017-04-16,20
2017-04-23,12
2017-04-30,5
2017-05-07,5
2017-05-14,11
2017-05-21,8
2017-05-28,14
2017-06-04,22
2017-06-11,22
2017-06-18,13
2017-06-25,11
2017-07-02,11
2017-07-09,24
2017-07-16,16
2017-07-23,11
2017-07-30,0
2017-08-06,11
2017-08-13,0
2017-08-20,8
2017-08-27,5
2017-09-03,5
2017-09-10,11
2017-09-17,11
2017-09-24,16
2017-10-01,8
2017-10-08,15
2017-10-15,5
2017-10-22,31
2017-10-29,5
2017-11-05,5
2017-11-12,20
2017-11-19,15
2017-11-26,15
2017-12-03,8
2017-12-10,11
2017-12-17,6
2017-12-24,15
2017-12-31,8
2018-01-07,7
2018-01-14,10
2018-01-21,10
2018-01-28,13
2018-02-04,8
2018-02-11,6
2018-02-18,5
2018-02-25,5
2018-03-04,12
2018-03-11,5
2018-03-18,15
2018-03-25,10
2018-04-01,10
2018-04-08,22
2018-04-15,10
2018-04-22,7
2018-04-29,5
2018-05-06,15
2018-05-13,10
2018-05-20,20
2018-05-27,8
2018-06-03,15
2018-06-10,13
2018-06-17,12
2018-06-24,10
2018-07-01,9
2018-07-08,7
2018-07-15,0
2018-07-22,10
2018-07-29,7
2018-08-05,5
2018-08-12,10
2018-08-19,5
2018-08-26,10
2018-09-02,5
2018-09-09,5
2018-09-16,10
2018-09-23,10
2018-09-30,7
2018-10-07,7
2018-10-14,13
2018-10-21,15
2018-10-28,19
2018-11-04,12
2018-11-11,12
2018-11-18,15
2018-11-25,10
2018-12-02,10
2018-12-09,10
2018-12-16,11
2018-12-23,6
2018-12-30,11
