Category: All categories

Week,dengue fever: (Singapore)
2014-01-05,46
2014-01-12,29
2014-01-19,40
2014-01-26,18
2014-02-02,35
2014-02-09,27
2014-02-16,40
2014-02-23,28
2014-03-02,60
2014-03-09,26
2014-03-16,29
2014-03-23,28
2014-03-30,39
2014-04-06,33
2014-04-13,34
2014-04-20,24
2014-04-27,27
2014-05-04,37
2014-05-11,29
2014-05-18,26
2014-05-25,29
2014-06-01,36
2014-06-08,45
2014-06-15,45
2014-06-22,41
2014-06-29,45
2014-07-06,69
2014-07-13,96
2014-07-20,100
2014-07-27,66
2014-08-03,58
2014-08-10,59
2014-08-17,69
2014-08-24,29
2014-08-31,35
2014-09-07,20
2014-09-14,20
2014-09-21,21
2014-09-28,20
2014-10-05,23
2014-10-12,14
2014-10-19,16
2014-10-26,20
2014-11-02,21
2014-11-09,30
2014-11-16,14
2014-11-23,21
2014-11-30,26
2014-12-07,30
2014-12-14,25
2014-12-21,22
2014-12-28,26
2015-01-04,30
2015-01-11,34
2015-01-18,24
2015-01-25,21
2015-02-01,20
2015-02-08,21
2015-02-15,27
2015-02-22,17
2015-03-01,22
2015-03-08,27
2015-03-15,19
2015-03-22,17
2015-03-29,7
2015-04-05,18
2015-04-12,11
2015-04-19,20
2015-04-26,17
2015-05-03,25
2015-05-10,28
2015-05-17,48
2015-05-24,31
2015-05-31,31
2015-06-07,28
2015-06-14,25
2015-06-21,31
2015-06-28,25
2015-07-05,25
2015-07-12,33
2015-07-19,32
2015-07-26,19
2015-08-02,25
2015-08-09,26
2015-08-16,29
2015-08-23,22
2015-08-30,26
2015-09-06,18
2015-09-13,40
2015-09-20,25
2015-09-27,25
2015-10-04,30
2015-10-11,31
2015-10-18,17
2015-10-25,18
2015-11-01,30
2015-11-08,25
2015-11-15,34
2015-11-22,23
2015-11-29,40
2015-12-06,38
2015-12-13,38
2015-12-20,35
2015-12-27,26
2016-01-03,54
2016-01-10,66
2016-01-17,44
2016-01-24,69
2016-01-31,50
2016-02-07,63
2016-02-14,64
2016-02-21,66
2016-02-28,55
2016-03-06,40
2016-03-13,28
2016-03-20,42
2016-03-27,27
2016-04-03,31
2016-04-10,24
2016-04-17,24
2016-04-24,29
2016-05-01,21
2016-05-08,23
2016-05-15,17
2016-05-22,15
2016-05-29,21
2016-06-05,28
2016-06-12,23
2016-06-19,19
2016-06-26,28
2016-07-03,25
2016-07-10,21
2016-07-17,30
2016-07-24,27
2016-07-31,27
2016-08-07,35
2016-08-14,28
2016-08-21,18
2016-08-28,23
2016-09-04,22
2016-09-11,14
2016-09-18,18
2016-09-25,22
2016-10-02,17
2016-10-09,21
2016-10-16,13
2016-10-23,16
2016-10-30,16
2016-11-06,6
2016-11-13,8
2016-11-20,12
2016-11-27,19
2016-12-04,11
2016-12-11,14
2016-12-18,17
2016-12-25,14
2017-01-01,14
2017-01-08,14
2017-01-15,14
2017-01-22,17
2017-01-29,19
2017-02-05,7
2017-02-12,15
2017-02-19,8
2017-02-26,6
2017-03-05,15
2017-03-12,10
2017-03-19,9
2017-03-26,11
2017-04-02,16
2017-04-09,11
2017-04-16,9
2017-04-23,12
2017-04-30,15
2017-05-07,15
2017-05-14,9
2017-05-21,18
2017-05-28,15
2017-06-04,20
2017-06-11,20
2017-06-18,21
2017-06-25,21
2017-07-02,12
2017-07-09,17
2017-07-16,12
2017-07-23,8
2017-07-30,12
2017-08-06,12
2017-08-13,21
2017-08-20,18
2017-08-27,12
2017-09-03,14
2017-09-10,15
2017-09-17,12
2017-09-24,12
2017-10-01,14
2017-10-08,13
2017-10-15,11
2017-10-22,12
2017-10-29,10
2017-11-05,15
2017-11-12,14
2017-11-19,16
2017-11-26,23
2017-12-03,13
2017-12-10,10
2017-12-17,11
2017-12-24,16
2017-12-31,8
2018-01-07,30
2018-01-14,23
2018-01-21,19
2018-01-28,10
2018-02-04,14
2018-02-11,8
2018-02-18,14
2018-02-25,14
2018-03-04,11
2018-03-11,13
2018-03-18,9
2018-03-25,13
2018-04-01,8
2018-04-08,17
2018-04-15,13
2018-04-22,6
2018-04-29,15
2018-05-06,27
2018-05-13,17
2018-05-20,19
2018-05-27,12
2018-06-03,9
2018-06-10,14
2018-06-17,18
2018-06-24,14
2018-07-01,16
2018-07-08,14
2018-07-15,19
2018-07-22,9
2018-07-29,10
2018-08-05,16
2018-08-12,7
2018-08-19,13
2018-08-26,16
2018-09-02,15
2018-09-09,13
2018-09-16,20
2018-09-23,14
2018-09-30,14
2018-10-07,10
2018-10-14,17
2018-10-21,16
2018-10-28,11
2018-11-04,10
2018-11-11,14
2018-11-18,14
2018-11-25,17
2018-12-02,24
2018-12-09,15
2018-12-16,27
2018-12-23,24
2018-12-30,30
