Category: All categories

Week,dengue: (Singapore)
2014-01-05,68
2014-01-12,61
2014-01-19,47
2014-01-26,34
2014-02-02,42
2014-02-09,48
2014-02-16,38
2014-02-23,36
2014-03-02,42
2014-03-09,34
2014-03-16,28
2014-03-23,27
2014-03-30,41
2014-04-06,30
2014-04-13,37
2014-04-20,38
2014-04-27,34
2014-05-04,40
2014-05-11,31
2014-05-18,37
2014-05-25,49
2014-06-01,43
2014-06-08,51
2014-06-15,61
2014-06-22,57
2014-06-29,67
2014-07-06,80
2014-07-13,100
2014-07-20,86
2014-07-27,69
2014-08-03,76
2014-08-10,71
2014-08-17,53
2014-08-24,47
2014-08-31,47
2014-09-07,41
2014-09-14,47
2014-09-21,39
2014-09-28,45
2014-10-05,36
2014-10-12,31
2014-10-19,38
2014-10-26,37
2014-11-02,28
2014-11-09,25
2014-11-16,22
2014-11-23,30
2014-11-30,27
2014-12-07,28
2014-12-14,24
2014-12-21,23
2014-12-28,21
2015-01-04,28
2015-01-11,27
2015-01-18,28
2015-01-25,25
2015-02-01,27
2015-02-08,27
2015-02-15,23
2015-02-22,27
2015-03-01,23
2015-03-08,26
2015-03-15,22
2015-03-22,18
2015-03-29,19
2015-04-05,22
2015-04-12,25
2015-04-19,37
2015-04-26,28
2015-05-03,27
2015-05-10,31
2015-05-17,31
2015-05-24,28
2015-05-31,32
2015-06-07,34
2015-06-14,35
2015-06-21,32
2015-06-28,36
2015-07-05,30
2015-07-12,36
2015-07-19,40
2015-07-26,38
2015-08-02,30
2015-08-09,27
2015-08-16,30
2015-08-23,26
2015-08-30,28
2015-09-06,21
2015-09-13,30
2015-09-20,27
2015-09-27,30
2015-10-04,31
2015-10-11,31
2015-10-18,29
2015-10-25,26
2015-11-01,32
2015-11-08,29
2015-11-15,27
2015-11-22,29
2015-11-29,40
2015-12-06,41
2015-12-13,47
2015-12-20,33
2015-12-27,47
2016-01-03,72
2016-01-10,72
2016-01-17,74
2016-01-24,99
2016-01-31,78
2016-02-07,73
2016-02-14,83
2016-02-21,76
2016-02-28,73
2016-03-06,52
2016-03-13,54
2016-03-20,42
2016-03-27,47
2016-04-03,50
2016-04-10,38
2016-04-17,32
2016-04-24,37
2016-05-01,41
2016-05-08,39
2016-05-15,30
2016-05-22,38
2016-05-29,43
2016-06-05,32
2016-06-12,33
2016-06-19,34
2016-06-26,30
2016-07-03,37
2016-07-10,38
2016-07-17,39
2016-07-24,41
2016-07-31,42
2016-08-07,35
2016-08-14,27
2016-08-21,36
2016-08-28,89
2016-09-04,56
2016-09-11,42
2016-09-18,37
2016-09-25,41
2016-10-02,34
2016-10-09,29
2016-10-16,22
2016-10-23,29
2016-10-30,24
2016-11-06,23
2016-11-13,19
2016-11-20,23
2016-11-27,21
2016-12-04,18
2016-12-11,14
2016-12-18,16
2016-12-25,15
2017-01-01,20
2017-01-08,17
2017-01-15,22
2017-01-22,14
2017-01-29,22
2017-02-05,18
2017-02-12,18
2017-02-19,18
2017-02-26,21
2017-03-05,20
2017-03-12,21
2017-03-19,19
2017-03-26,13
2017-04-02,20
2017-04-09,18
2017-04-16,21
2017-04-23,20
2017-04-30,19
2017-05-07,20
2017-05-14,22
2017-05-21,19
2017-05-28,19
2017-06-04,19
2017-06-11,26
2017-06-18,18
2017-06-25,23
2017-07-02,16
2017-07-09,25
2017-07-16,19
2017-07-23,18
2017-07-30,17
2017-08-06,21
2017-08-13,21
2017-08-20,19
2017-08-27,15
2017-09-03,17
2017-09-10,18
2017-09-17,25
2017-09-24,19
2017-10-01,20
2017-10-08,24
2017-10-15,19
2017-10-22,24
2017-10-29,19
2017-11-05,18
2017-11-12,21
2017-11-19,20
2017-11-26,21
2017-12-03,25
2017-12-10,23
2017-12-17,14
2017-12-24,16
2017-12-31,17
2018-01-07,23
2018-01-14,21
2018-01-21,23
2018-01-28,17
2018-02-04,21
2018-02-11,14
2018-02-18,16
2018-02-25,17
2018-03-04,18
2018-03-11,17
2018-03-18,14
2018-03-25,14
2018-04-01,14
2018-04-08,15
2018-04-15,14
2018-04-22,16
2018-04-29,26
2018-05-06,53
2018-05-13,23
2018-05-20,37
2018-05-27,27
2018-06-03,28
2018-06-10,21
2018-06-17,19
2018-06-24,21
2018-07-01,30
2018-07-08,18
2018-07-15,23
2018-07-22,20
2018-07-29,18
2018-08-05,16
2018-08-12,14
2018-08-19,13
2018-08-26,20
2018-09-02,17
2018-09-09,21
2018-09-16,22
2018-09-23,18
2018-09-30,14
2018-10-07,15
2018-10-14,19
2018-10-21,21
2018-10-28,23
2018-11-04,17
2018-11-11,22
2018-11-18,20
2018-11-25,27
2018-12-02,29
2018-12-09,26
2018-12-16,28
2018-12-23,20
2018-12-30,27
