Category: All categories

Week,eye pain: (Singapore)
2014-01-05,32
2014-01-12,57
2014-01-19,48
2014-01-26,43
2014-02-02,43
2014-02-09,37
2014-02-16,31
2014-02-23,28
2014-03-02,36
2014-03-09,24
2014-03-16,30
2014-03-23,68
2014-03-30,31
2014-04-06,31
2014-04-13,32
2014-04-20,31
2014-04-27,80
2014-05-04,42
2014-05-11,42
2014-05-18,63
2014-05-25,54
2014-06-01,47
2014-06-08,74
2014-06-15,40
2014-06-22,53
2014-06-29,52
2014-07-06,71
2014-07-13,45
2014-07-20,80
2014-07-27,34
2014-08-03,75
2014-08-10,76
2014-08-17,44
2014-08-24,70
2014-08-31,57
2014-09-07,50
2014-09-14,67
2014-09-21,43
2014-09-28,31
2014-10-05,57
2014-10-12,43
2014-10-19,63
2014-10-26,67
2014-11-02,49
2014-11-09,46
2014-11-16,46
2014-11-23,91
2014-11-30,49
2014-12-07,38
2014-12-14,91
2014-12-21,48
2014-12-28,39
2015-01-04,63
2015-01-11,77
2015-01-18,47
2015-01-25,78
2015-02-01,43
2015-02-08,31
2015-02-15,95
2015-02-22,65
2015-03-01,72
2015-03-08,80
2015-03-15,29
2015-03-22,25
2015-03-29,43
2015-04-05,62
2015-04-12,35
2015-04-19,53
2015-04-26,60
2015-05-03,63
2015-05-10,64
2015-05-17,41
2015-05-24,77
2015-05-31,73
2015-06-07,42
2015-06-14,67
2015-06-21,75
2015-06-28,38
2015-07-05,48
2015-07-12,60
2015-07-19,54
2015-07-26,52
2015-08-02,48
2015-08-09,58
2015-08-16,46
2015-08-23,25
2015-08-30,39
2015-09-06,73
2015-09-13,48
2015-09-20,50
2015-09-27,39
2015-10-04,74
2015-10-11,47
2015-10-18,47
2015-10-25,42
2015-11-01,47
2015-11-08,27
2015-11-15,48
2015-11-22,43
2015-11-29,48
2015-12-06,66
2015-12-13,57
2015-12-20,50
2015-12-27,73
2016-01-03,58
2016-01-10,73
2016-01-17,51
2016-01-24,57
2016-01-31,60
2016-02-07,53
2016-02-14,39
2016-02-21,90
2016-02-28,33
2016-03-06,38
2016-03-13,59
2016-03-20,55
2016-03-27,27
2016-04-03,37
2016-04-10,48
2016-04-17,82
2016-04-24,49
2016-05-01,64
2016-05-08,47
2016-05-15,22
2016-05-22,66
2016-05-29,38
2016-06-05,55
2016-06-12,76
2016-06-19,43
2016-06-26,27
2016-07-03,51
2016-07-10,84
2016-07-17,61
2016-07-24,34
2016-07-31,34
2016-08-07,35
2016-08-14,52
2016-08-21,44
2016-08-28,44
2016-09-04,44
2016-09-11,68
2016-09-18,55
2016-09-25,44
2016-10-02,61
2016-10-09,50
2016-10-16,39
2016-10-23,62
2016-10-30,50
2016-11-06,79
2016-11-13,50
2016-11-20,80
2016-11-27,48
2016-12-04,47
2016-12-11,81
2016-12-18,51
2016-12-25,53
2017-01-01,100
2017-01-08,42
2017-01-15,36
2017-01-22,44
2017-01-29,33
2017-02-05,30
2017-02-12,40
2017-02-19,50
2017-02-26,29
2017-03-05,69
2017-03-12,24
2017-03-19,74
2017-03-26,64
2017-04-02,45
2017-04-09,30
2017-04-16,68
2017-04-23,58
2017-04-30,65
2017-05-07,70
2017-05-14,32
2017-05-21,85
2017-05-28,48
2017-06-04,96
2017-06-11,32
2017-06-18,53
2017-06-25,39
2017-07-02,32
2017-07-09,80
2017-07-16,47
2017-07-23,68
2017-07-30,51
2017-08-06,68
2017-08-13,55
2017-08-20,46
2017-08-27,57
2017-09-03,46
2017-09-10,36
2017-09-17,52
2017-09-24,56
2017-10-01,46
2017-10-08,68
2017-10-15,83
2017-10-22,35
2017-10-29,54
2017-11-05,63
2017-11-12,44
2017-11-19,54
2017-11-26,74
2017-12-03,51
2017-12-10,69
2017-12-17,55
2017-12-24,45
2017-12-31,57
2018-01-07,44
2018-01-14,24
2018-01-21,63
2018-01-28,20
2018-02-04,45
2018-02-11,51
2018-02-18,67
2018-02-25,63
2018-03-04,49
2018-03-11,48
2018-03-18,78
2018-03-25,35
2018-04-01,39
2018-04-08,58
2018-04-15,82
2018-04-22,61
2018-04-29,63
2018-05-06,33
2018-05-13,58
2018-05-20,54
2018-05-27,40
2018-06-03,50
2018-06-10,64
2018-06-17,52
2018-06-24,79
2018-07-01,37
2018-07-08,37
2018-07-15,73
2018-07-22,54
2018-07-29,58
2018-08-05,49
2018-08-12,57
2018-08-19,63
2018-08-26,61
2018-09-02,42
2018-09-09,23
2018-09-16,33
2018-09-23,56
2018-09-30,57
2018-10-07,42
2018-10-14,39
2018-10-21,61
2018-10-28,23
2018-11-04,48
2018-11-11,62
2018-11-18,72
2018-11-25,76
2018-12-02,59
2018-12-09,81
2018-12-16,61
2018-12-23,71
2018-12-30,41
