Category: All categories

Week,fever: (Singapore)
2014-01-05,71
2014-01-12,84
2014-01-19,72
2014-01-26,66
2014-02-02,64
2014-02-09,58
2014-02-16,51
2014-02-23,75
2014-03-02,65
2014-03-09,52
2014-03-16,57
2014-03-23,54
2014-03-30,56
2014-04-06,62
2014-04-13,67
2014-04-20,63
2014-04-27,63
2014-05-04,75
2014-05-11,73
2014-05-18,70
2014-05-25,81
2014-06-01,90
2014-06-08,83
2014-06-15,91
2014-06-22,81
2014-06-29,77
2014-07-06,82
2014-07-13,96
2014-07-20,87
2014-07-27,84
2014-08-03,74
2014-08-10,85
2014-08-17,83
2014-08-24,67
2014-08-31,75
2014-09-07,62
2014-09-14,57
2014-09-21,54
2014-09-28,53
2014-10-05,59
2014-10-12,55
2014-10-19,51
2014-10-26,51
2014-11-02,51
2014-11-09,52
2014-11-16,49
2014-11-23,50
2014-11-30,60
2014-12-07,66
2014-12-14,59
2014-12-21,58
2014-12-28,66
2015-01-04,60
2015-01-11,64
2015-01-18,63
2015-01-25,65
2015-02-01,72
2015-02-08,56
2015-02-15,61
2015-02-22,61
2015-03-01,59
2015-03-08,66
2015-03-15,68
2015-03-22,64
2015-03-29,54
2015-04-05,73
2015-04-12,58
2015-04-19,62
2015-04-26,66
2015-05-03,69
2015-05-10,71
2015-05-17,92
2015-05-24,90
2015-05-31,95
2015-06-07,74
2015-06-14,79
2015-06-21,80
2015-06-28,68
2015-07-05,65
2015-07-12,59
2015-07-19,69
2015-07-26,67
2015-08-02,61
2015-08-09,71
2015-08-16,65
2015-08-23,62
2015-08-30,64
2015-09-06,53
2015-09-13,67
2015-09-20,64
2015-09-27,65
2015-10-04,58
2015-10-11,63
2015-10-18,62
2015-10-25,65
2015-11-01,75
2015-11-08,62
2015-11-15,56
2015-11-22,66
2015-11-29,68
2015-12-06,73
2015-12-13,71
2015-12-20,75
2015-12-27,80
2016-01-03,70
2016-01-10,86
2016-01-17,87
2016-01-24,95
2016-01-31,82
2016-02-07,93
2016-02-14,100
2016-02-21,92
2016-02-28,87
2016-03-06,89
2016-03-13,79
2016-03-20,76
2016-03-27,65
2016-04-03,61
2016-04-10,56
2016-04-17,64
2016-04-24,73
2016-05-01,72
2016-05-08,76
2016-05-15,65
2016-05-22,69
2016-05-29,65
2016-06-05,66
2016-06-12,78
2016-06-19,73
2016-06-26,79
2016-07-03,71
2016-07-10,73
2016-07-17,85
2016-07-24,100
2016-07-31,83
2016-08-07,69
2016-08-14,66
2016-08-21,60
2016-08-28,79
2016-09-04,67
2016-09-11,76
2016-09-18,79
2016-09-25,55
2016-10-02,62
2016-10-09,62
2016-10-16,62
2016-10-23,68
2016-10-30,61
2016-11-06,62
2016-11-13,58
2016-11-20,58
2016-11-27,59
2016-12-04,66
2016-12-11,65
2016-12-18,62
2016-12-25,73
2017-01-01,82
2017-01-08,62
2017-01-15,61
2017-01-22,68
2017-01-29,77
2017-02-05,66
2017-02-12,66
2017-02-19,65
2017-02-26,64
2017-03-05,73
2017-03-12,79
2017-03-19,63
2017-03-26,71
2017-04-02,65
2017-04-09,69
2017-04-16,73
2017-04-23,65
2017-04-30,78
2017-05-07,92
2017-05-14,86
2017-05-21,84
2017-05-28,75
2017-06-04,89
2017-06-11,70
2017-06-18,78
2017-06-25,67
2017-07-02,64
2017-07-09,71
2017-07-16,70
2017-07-23,64
2017-07-30,59
2017-08-06,61
2017-08-13,70
2017-08-20,67
2017-08-27,67
2017-09-03,70
2017-09-10,67
2017-09-17,63
2017-09-24,63
2017-10-01,65
2017-10-08,65
2017-10-15,63
2017-10-22,67
2017-10-29,63
2017-11-05,68
2017-11-12,68
2017-11-19,69
2017-11-26,71
2017-12-03,73
2017-12-10,66
2017-12-17,67
2017-12-24,82
2017-12-31,65
2018-01-07,82
2018-01-14,80
2018-01-21,76
2018-01-28,79
2018-02-04,79
2018-02-11,71
2018-02-18,77
2018-02-25,66
2018-03-04,64
2018-03-11,69
2018-03-18,68
2018-03-25,64
2018-04-01,61
2018-04-08,65
2018-04-15,60
2018-04-22,65
2018-04-29,64
2018-05-06,66
2018-05-13,69
2018-05-20,67
2018-05-27,59
2018-06-03,71
2018-06-10,57
2018-06-17,64
2018-06-24,62
2018-07-01,70
2018-07-08,62
2018-07-15,66
2018-07-22,70
2018-07-29,70
2018-08-05,66
2018-08-12,66
2018-08-19,60
2018-08-26,59
2018-09-02,67
2018-09-09,59
2018-09-16,59
2018-09-23,58
2018-09-30,58
2018-10-07,57
2018-10-14,65
2018-10-21,68
2018-10-28,67
2018-11-04,74
2018-11-11,73
2018-11-18,67
2018-11-25,76
2018-12-02,82
2018-12-09,67
2018-12-16,77
2018-12-23,84
2018-12-30,89
