Category: All categories

Week,headache: (Singapore)
2014-01-05,75
2014-01-12,52
2014-01-19,56
2014-01-26,69
2014-02-02,65
2014-02-09,78
2014-02-16,63
2014-02-23,53
2014-03-02,66
2014-03-09,62
2014-03-16,57
2014-03-23,70
2014-03-30,69
2014-04-06,56
2014-04-13,67
2014-04-20,75
2014-04-27,63
2014-05-04,57
2014-05-11,66
2014-05-18,80
2014-05-25,52
2014-06-01,81
2014-06-08,73
2014-06-15,66
2014-06-22,64
2014-06-29,75
2014-07-06,61
2014-07-13,57
2014-07-20,66
2014-07-27,76
2014-08-03,59
2014-08-10,55
2014-08-17,76
2014-08-24,59
2014-08-31,64
2014-09-07,69
2014-09-14,65
2014-09-21,69
2014-09-28,61
2014-10-05,72
2014-10-12,67
2014-10-19,58
2014-10-26,87
2014-11-02,58
2014-11-09,61
2014-11-16,57
2014-11-23,55
2014-11-30,82
2014-12-07,62
2014-12-14,57
2014-12-21,50
2014-12-28,67
2015-01-04,61
2015-01-11,62
2015-01-18,51
2015-01-25,53
2015-02-01,74
2015-02-08,61
2015-02-15,69
2015-02-22,54
2015-03-01,69
2015-03-08,58
2015-03-15,68
2015-03-22,90
2015-03-29,55
2015-04-05,73
2015-04-12,66
2015-04-19,63
2015-04-26,59
2015-05-03,61
2015-05-10,69
2015-05-17,78
2015-05-24,75
2015-05-31,66
2015-06-07,68
2015-06-14,90
2015-06-21,70
2015-06-28,68
2015-07-05,68
2015-07-12,70
2015-07-19,76
2015-07-26,59
2015-08-02,50
2015-08-09,65
2015-08-16,60
2015-08-23,65
2015-08-30,65
2015-09-06,64
2015-09-13,61
2015-09-20,65
2015-09-27,66
2015-10-04,57
2015-10-11,74
2015-10-18,65
2015-10-25,70
2015-11-01,58
2015-11-08,60
2015-11-15,58
2015-11-22,71
2015-11-29,78
2015-12-06,71
2015-12-13,55
2015-12-20,58
2015-12-27,62
2016-01-03,74
2016-01-10,80
2016-01-17,53
2016-01-24,73
2016-01-31,69
2016-02-07,62
2016-02-14,62
2016-02-21,72
2016-02-28,71
2016-03-06,70
2016-03-13,52
2016-03-20,67
2016-03-27,63
2016-04-03,62
2016-04-10,72
2016-04-17,67
2016-04-24,75
2016-05-01,70
2016-05-08,67
2016-05-15,76
2016-05-22,84
2016-05-29,81
2016-06-05,66
2016-06-12,84
2016-06-19,69
2016-06-26,73
2016-07-03,57
2016-07-10,75
2016-07-17,74
2016-07-24,60
2016-07-31,71
2016-08-07,59
2016-08-14,70
2016-08-21,64
2016-08-28,86
2016-09-04,79
2016-09-11,73
2016-09-18,83
2016-09-25,80
2016-10-02,78
2016-10-09,64
2016-10-16,69
2016-10-23,67
2016-10-30,69
2016-11-06,50
2016-11-13,57
2016-11-20,81
2016-11-27,72
2016-12-04,75
2016-12-11,69
2016-12-18,65
2016-12-25,65
2017-01-01,73
2017-01-08,75
2017-01-15,60
2017-01-22,79
2017-01-29,68
2017-02-05,73
2017-02-12,64
2017-02-19,61
2017-02-26,68
2017-03-05,73
2017-03-12,74
2017-03-19,74
2017-03-26,84
2017-04-02,80
2017-04-09,72
2017-04-16,91
2017-04-23,73
2017-04-30,72
2017-05-07,90
2017-05-14,94
2017-05-21,76
2017-05-28,72
2017-06-04,70
2017-06-11,70
2017-06-18,77
2017-06-25,75
2017-07-02,68
2017-07-09,64
2017-07-16,74
2017-07-23,80
2017-07-30,71
2017-08-06,58
2017-08-13,69
2017-08-20,78
2017-08-27,75
2017-09-03,60
2017-09-10,66
2017-09-17,83
2017-09-24,69
2017-10-01,78
2017-10-08,66
2017-10-15,81
2017-10-22,77
2017-10-29,86
2017-11-05,88
2017-11-12,88
2017-11-19,82
2017-11-26,78
2017-12-03,78
2017-12-10,74
2017-12-17,61
2017-12-24,75
2017-12-31,80
2018-01-07,90
2018-01-14,78
2018-01-21,85
2018-01-28,98
2018-02-04,82
2018-02-11,80
2018-02-18,86
2018-02-25,100
2018-03-04,74
2018-03-11,79
2018-03-18,83
2018-03-25,83
2018-04-01,79
2018-04-08,82
2018-04-15,67
2018-04-22,72
2018-04-29,80
2018-05-06,97
2018-05-13,85
2018-05-20,62
2018-05-27,80
2018-06-03,81
2018-06-10,76
2018-06-17,73
2018-06-24,77
2018-07-01,69
2018-07-08,80
2018-07-15,66
2018-07-22,67
2018-07-29,68
2018-08-05,56
2018-08-12,76
2018-08-19,76
2018-08-26,75
2018-09-02,78
2018-09-09,83
2018-09-16,82
2018-09-23,67
2018-09-30,74
2018-10-07,74
2018-10-14,72
2018-10-21,68
2018-10-28,74
2018-11-04,69
2018-11-11,70
2018-11-18,70
2018-11-25,80
2018-12-02,70
2018-12-09,56
2018-12-16,76
2018-12-23,75
2018-12-30,83
