Category: All categories

Week,Nausea: (Singapore)
2014-01-05,68
2014-01-12,92
2014-01-19,67
2014-01-26,67
2014-02-02,67
2014-02-09,71
2014-02-16,78
2014-02-23,73
2014-03-02,73
2014-03-09,63
2014-03-16,79
2014-03-23,86
2014-03-30,59
2014-04-06,71
2014-04-13,63
2014-04-20,78
2014-04-27,65
2014-05-04,82
2014-05-11,80
2014-05-18,82
2014-05-25,54
2014-06-01,75
2014-06-08,69
2014-06-15,47
2014-06-22,69
2014-06-29,46
2014-07-06,68
2014-07-13,66
2014-07-20,78
2014-07-27,69
2014-08-03,80
2014-08-10,63
2014-08-17,68
2014-08-24,69
2014-08-31,70
2014-09-07,65
2014-09-14,59
2014-09-21,92
2014-09-28,73
2014-10-05,70
2014-10-12,79
2014-10-19,71
2014-10-26,49
2014-11-02,66
2014-11-09,75
2014-11-16,82
2014-11-23,67
2014-11-30,63
2014-12-07,74
2014-12-14,48
2014-12-21,79
2014-12-28,79
2015-01-04,80
2015-01-11,64
2015-01-18,66
2015-01-25,68
2015-02-01,70
2015-02-08,46
2015-02-15,66
2015-02-22,54
2015-03-01,61
2015-03-08,64
2015-03-15,65
2015-03-22,59
2015-03-29,78
2015-04-05,75
2015-04-12,74
2015-04-19,58
2015-04-26,61
2015-05-03,77
2015-05-10,67
2015-05-17,80
2015-05-24,74
2015-05-31,70
2015-06-07,84
2015-06-14,76
2015-06-21,73
2015-06-28,68
2015-07-05,44
2015-07-12,85
2015-07-19,58
2015-07-26,58
2015-08-02,65
2015-08-09,82
2015-08-16,63
2015-08-23,67
2015-08-30,73
2015-09-06,51
2015-09-13,81
2015-09-20,71
2015-09-27,67
2015-10-04,62
2015-10-11,67
2015-10-18,69
2015-10-25,59
2015-11-01,72
2015-11-08,81
2015-11-15,95
2015-11-22,65
2015-11-29,66
2015-12-06,89
2015-12-13,89
2015-12-20,92
2015-12-27,77
2016-01-03,78
2016-01-10,68
2016-01-17,100
2016-01-24,76
2016-01-31,85
2016-02-07,39
2016-02-14,68
2016-02-21,84
2016-02-28,87
2016-03-06,73
2016-03-13,80
2016-03-20,77
2016-03-27,79
2016-04-03,96
2016-04-10,75
2016-04-17,96
2016-04-24,82
2016-05-01,89
2016-05-08,77
2016-05-15,72
2016-05-22,91
2016-05-29,70
2016-06-05,74
2016-06-12,71
2016-06-19,93
2016-06-26,79
2016-07-03,65
2016-07-10,64
2016-07-17,83
2016-07-24,78
2016-07-31,87
2016-08-07,44
2016-08-14,88
2016-08-21,50
2016-08-28,82
2016-09-04,72
2016-09-11,59
2016-09-18,74
2016-09-25,70
2016-10-02,68
2016-10-09,70
2016-10-16,100
2016-10-23,91
2016-10-30,55
2016-11-06,79
2016-11-13,70
2016-11-20,61
2016-11-27,64
2016-12-04,75
2016-12-11,90
2016-12-18,72
2016-12-25,80
2017-01-01,65
2017-01-08,61
2017-01-15,63
2017-01-22,64
2017-01-29,88
2017-02-05,70
2017-02-12,63
2017-02-19,91
2017-02-26,75
2017-03-05,94
2017-03-12,72
2017-03-19,70
2017-03-26,73
2017-04-02,74
2017-04-09,78
2017-04-16,63
2017-04-23,58
2017-04-30,79
2017-05-07,76
2017-05-14,80
2017-05-21,87
2017-05-28,76
2017-06-04,75
2017-06-11,56
2017-06-18,65
2017-06-25,74
2017-07-02,68
2017-07-09,83
2017-07-16,68
2017-07-23,66
2017-07-30,76
2017-08-06,66
2017-08-13,67
2017-08-20,66
2017-08-27,71
2017-09-03,86
2017-09-10,66
2017-09-17,78
2017-09-24,68
2017-10-01,78
2017-10-08,73
2017-10-15,85
2017-10-22,71
2017-10-29,59
2017-11-05,80
2017-11-12,79
2017-11-19,78
2017-11-26,63
2017-12-03,78
2017-12-10,68
2017-12-17,68
2017-12-24,70
2017-12-31,96
2018-01-07,74
2018-01-14,95
2018-01-21,68
2018-01-28,90
2018-02-04,58
2018-02-11,63
2018-02-18,83
2018-02-25,86
2018-03-04,81
2018-03-11,85
2018-03-18,75
2018-03-25,85
2018-04-01,77
2018-04-08,51
2018-04-15,79
2018-04-22,87
2018-04-29,65
2018-05-06,73
2018-05-13,69
2018-05-20,53
2018-05-27,69
2018-06-03,86
2018-06-10,67
2018-06-17,80
2018-06-24,95
2018-07-01,61
2018-07-08,78
2018-07-15,81
2018-07-22,62
2018-07-29,82
2018-08-05,91
2018-08-12,86
2018-08-19,77
2018-08-26,80
2018-09-02,61
2018-09-09,52
2018-09-16,73
2018-09-23,91
2018-09-30,68
2018-10-07,90
2018-10-14,74
2018-10-21,78
2018-10-28,91
2018-11-04,75
2018-11-11,80
2018-11-18,56
2018-11-25,64
2018-12-02,70
2018-12-09,92
2018-12-16,77
2018-12-23,85
2018-12-30,82
