Category: All categories

Week,rashes: (Singapore)
2014-01-05,82
2014-01-12,73
2014-01-19,78
2014-01-26,84
2014-02-02,58
2014-02-09,53
2014-02-16,58
2014-02-23,62
2014-03-02,52
2014-03-09,67
2014-03-16,63
2014-03-23,62
2014-03-30,54
2014-04-06,63
2014-04-13,54
2014-04-20,67
2014-04-27,53
2014-05-04,64
2014-05-11,67
2014-05-18,53
2014-05-25,70
2014-06-01,76
2014-06-08,60
2014-06-15,54
2014-06-22,57
2014-06-29,80
2014-07-06,60
2014-07-13,61
2014-07-20,76
2014-07-27,63
2014-08-03,57
2014-08-10,63
2014-08-17,82
2014-08-24,68
2014-08-31,63
2014-09-07,60
2014-09-14,75
2014-09-21,49
2014-09-28,65
2014-10-05,64
2014-10-12,53
2014-10-19,70
2014-10-26,57
2014-11-02,47
2014-11-09,62
2014-11-16,73
2014-11-23,63
2014-11-30,71
2014-12-07,44
2014-12-14,69
2014-12-21,52
2014-12-28,75
2015-01-04,75
2015-01-11,60
2015-01-18,74
2015-01-25,78
2015-02-01,66
2015-02-08,60
2015-02-15,63
2015-02-22,87
2015-03-01,55
2015-03-08,63
2015-03-15,66
2015-03-22,54
2015-03-29,70
2015-04-05,54
2015-04-12,57
2015-04-19,74
2015-04-26,47
2015-05-03,41
2015-05-10,73
2015-05-17,63
2015-05-24,59
2015-05-31,73
2015-06-07,63
2015-06-14,88
2015-06-21,51
2015-06-28,69
2015-07-05,63
2015-07-12,56
2015-07-19,64
2015-07-26,64
2015-08-02,45
2015-08-09,59
2015-08-16,58
2015-08-23,61
2015-08-30,47
2015-09-06,41
2015-09-13,69
2015-09-20,62
2015-09-27,69
2015-10-04,62
2015-10-11,73
2015-10-18,67
2015-10-25,52
2015-11-01,59
2015-11-08,73
2015-11-15,81
2015-11-22,47
2015-11-29,72
2015-12-06,51
2015-12-13,48
2015-12-20,97
2015-12-27,84
2016-01-03,68
2016-01-10,68
2016-01-17,71
2016-01-24,66
2016-01-31,76
2016-02-07,75
2016-02-14,62
2016-02-21,61
2016-02-28,75
2016-03-06,74
2016-03-13,53
2016-03-20,48
2016-03-27,49
2016-04-03,74
2016-04-10,64
2016-04-17,57
2016-04-24,67
2016-05-01,46
2016-05-08,56
2016-05-15,75
2016-05-22,60
2016-05-29,62
2016-06-05,55
2016-06-12,60
2016-06-19,73
2016-06-26,85
2016-07-03,68
2016-07-10,69
2016-07-17,51
2016-07-24,64
2016-07-31,56
2016-08-07,41
2016-08-14,71
2016-08-21,54
2016-08-28,100
2016-09-04,86
2016-09-11,75
2016-09-18,73
2016-09-25,79
2016-10-02,65
2016-10-09,43
2016-10-16,61
2016-10-23,61
2016-10-30,59
2016-11-06,43
2016-11-13,69
2016-11-20,56
2016-11-27,67
2016-12-04,66
2016-12-11,60
2016-12-18,63
2016-12-25,48
2017-01-01,51
2017-01-08,62
2017-01-15,59
2017-01-22,52
2017-01-29,71
2017-02-05,61
2017-02-12,71
2017-02-19,61
2017-02-26,49
2017-03-05,63
2017-03-12,88
2017-03-19,44
2017-03-26,63
2017-04-02,45
2017-04-09,57
2017-04-16,68
2017-04-23,67
2017-04-30,63
2017-05-07,80
2017-05-14,59
2017-05-21,46
2017-05-28,74
2017-06-04,57
2017-06-11,63
2017-06-18,58
2017-06-25,54
2017-07-02,61
2017-07-09,55
2017-07-16,84
2017-07-23,61
2017-07-30,55
2017-08-06,69
2017-08-13,79
2017-08-20,55
2017-08-27,48
2017-09-03,61
2017-09-10,59
2017-09-17,46
2017-09-24,62
2017-10-01,61
2017-10-08,62
2017-10-15,56
2017-10-22,56
2017-10-29,51
2017-11-05,59
2017-11-12,62
2017-11-19,64
2017-11-26,44
2017-12-03,67
2017-12-10,72
2017-12-17,71
2017-12-24,71
2017-12-31,70
2018-01-07,61
2018-01-14,57
2018-01-21,79
2018-01-28,70
2018-02-04,59
2018-02-11,79
2018-02-18,79
2018-02-25,63
2018-03-04,41
2018-03-11,45
2018-03-18,52
2018-03-25,48
2018-04-01,52
2018-04-08,57
2018-04-15,59
2018-04-22,74
2018-04-29,73
2018-05-06,71
2018-05-13,58
2018-05-20,44
2018-05-27,55
2018-06-03,62
2018-06-10,72
2018-06-17,81
2018-06-24,65
2018-07-01,70
2018-07-08,62
2018-07-15,61
2018-07-22,57
2018-07-29,72
2018-08-05,76
2018-08-12,68
2018-08-19,74
2018-08-26,60
2018-09-02,46
2018-09-09,61
2018-09-16,56
2018-09-23,63
2018-09-30,67
2018-10-07,56
2018-10-14,45
2018-10-21,53
2018-10-28,50
2018-11-04,44
2018-11-11,51
2018-11-18,67
2018-11-25,62
2018-12-02,54
2018-12-09,58
2018-12-16,60
2018-12-23,72
2018-12-30,59
