Category: All categories

Week,Vomiting: (Singapore)
2014-01-05,83
2014-01-12,78
2014-01-19,68
2014-01-26,65
2014-02-02,91
2014-02-09,62
2014-02-16,73
2014-02-23,65
2014-03-02,65
2014-03-09,62
2014-03-16,62
2014-03-23,68
2014-03-30,59
2014-04-06,64
2014-04-13,64
2014-04-20,75
2014-04-27,74
2014-05-04,69
2014-05-11,71
2014-05-18,68
2014-05-25,81
2014-06-01,64
2014-06-08,65
2014-06-15,54
2014-06-22,58
2014-06-29,72
2014-07-06,68
2014-07-13,86
2014-07-20,68
2014-07-27,71
2014-08-03,69
2014-08-10,74
2014-08-17,81
2014-08-24,67
2014-08-31,72
2014-09-07,68
2014-09-14,58
2014-09-21,66
2014-09-28,64
2014-10-05,77
2014-10-12,70
2014-10-19,69
2014-10-26,77
2014-11-02,67
2014-11-09,65
2014-11-16,67
2014-11-23,59
2014-11-30,60
2014-12-07,87
2014-12-14,77
2014-12-21,78
2014-12-28,99
2015-01-04,72
2015-01-11,63
2015-01-18,79
2015-01-25,70
2015-02-01,64
2015-02-08,66
2015-02-15,83
2015-02-22,63
2015-03-01,72
2015-03-08,60
2015-03-15,66
2015-03-22,69
2015-03-29,76
2015-04-05,58
2015-04-12,79
2015-04-19,66
2015-04-26,61
2015-05-03,62
2015-05-10,73
2015-05-17,69
2015-05-24,64
2015-05-31,74
2015-06-07,75
2015-06-14,77
2015-06-21,68
2015-06-28,73
2015-07-05,80
2015-07-12,70
2015-07-19,74
2015-07-26,62
2015-08-02,61
2015-08-09,68
2015-08-16,78
2015-08-23,79
2015-08-30,74
2015-09-06,57
2015-09-13,84
2015-09-20,74
2015-09-27,79
2015-10-04,75
2015-10-11,75
2015-10-18,78
2015-10-25,77
2015-11-01,70
2015-11-08,87
2015-11-15,65
2015-11-22,64
2015-11-29,58
2015-12-06,85
2015-12-13,85
2015-12-20,79
2015-12-27,95
2016-01-03,87
2016-01-10,81
2016-01-17,62
2016-01-24,55
2016-01-31,82
2016-02-07,89
2016-02-14,67
2016-02-21,75
2016-02-28,69
2016-03-06,71
2016-03-13,74
2016-03-20,68
2016-03-27,68
2016-04-03,63
2016-04-10,66
2016-04-17,67
2016-04-24,73
2016-05-01,79
2016-05-08,74
2016-05-15,87
2016-05-22,78
2016-05-29,71
2016-06-05,78
2016-06-12,75
2016-06-19,74
2016-06-26,70
2016-07-03,73
2016-07-10,70
2016-07-17,55
2016-07-24,74
2016-07-31,58
2016-08-07,59
2016-08-14,63
2016-08-21,71
2016-08-28,70
2016-09-04,72
2016-09-11,78
2016-09-18,98
2016-09-25,74
2016-10-02,81
2016-10-09,85
2016-10-16,75
2016-10-23,63
2016-10-30,75
2016-11-06,66
2016-11-13,75
2016-11-20,78
2016-11-27,71
2016-12-04,63
2016-12-11,83
2016-12-18,75
2016-12-25,66
2017-01-01,100
2017-01-08,74
2017-01-15,84
2017-01-22,79
2017-01-29,80
2017-02-05,72
2017-02-12,72
2017-02-19,79
2017-02-26,67
2017-03-05,72
2017-03-12,73
2017-03-19,75
2017-03-26,86
2017-04-02,78
2017-04-09,66
2017-04-16,66
2017-04-23,74
2017-04-30,77
2017-05-07,82
2017-05-14,81
2017-05-21,79
2017-05-28,65
2017-06-04,62
2017-06-11,78
2017-06-18,68
2017-06-25,91
2017-07-02,70
2017-07-09,79
2017-07-16,85
2017-07-23,84
2017-07-30,76
2017-08-06,81
2017-08-13,75
2017-08-20,76
2017-08-27,77
2017-09-03,75
2017-09-10,74
2017-09-17,88
2017-09-24,79
2017-10-01,81
2017-10-08,84
2017-10-15,85
2017-10-22,71
2017-10-29,66
2017-11-05,75
2017-11-12,90
2017-11-19,78
2017-11-26,80
2017-12-03,84
2017-12-10,83
2017-12-17,77
2017-12-24,97
2017-12-31,87
2018-01-07,80
2018-01-14,81
2018-01-21,74
2018-01-28,78
2018-02-04,81
2018-02-11,85
2018-02-18,75
2018-02-25,73
2018-03-04,84
2018-03-11,78
2018-03-18,86
2018-03-25,74
2018-04-01,76
2018-04-08,70
2018-04-15,69
2018-04-22,74
2018-04-29,77
2018-05-06,68
2018-05-13,76
2018-05-20,74
2018-05-27,85
2018-06-03,83
2018-06-10,74
2018-06-17,75
2018-06-24,75
2018-07-01,81
2018-07-08,81
2018-07-15,85
2018-07-22,73
2018-07-29,82
2018-08-05,75
2018-08-12,81
2018-08-19,87
2018-08-26,76
2018-09-02,75
2018-09-09,70
2018-09-16,73
2018-09-23,65
2018-09-30,79
2018-10-07,64
2018-10-14,75
2018-10-21,85
2018-10-28,77
2018-11-04,65
2018-11-11,81
2018-11-18,73
2018-11-25,78
2018-12-02,89
2018-12-09,86
2018-12-16,96
2018-12-23,86
2018-12-30,92
